* Measurement data measured by REW V5.31.3
* Source: C:\Users\aevum\Desktop\Civilizational Blueprint\lossless microphone\analysis\4.wav
* Format: Imported Impulse Response, 48000.0 Hz sampling
* Dated: Jun 2, 2026 7:13:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Impulse Response imported from C:\Users\aevum\Desktop\Civilizational Blueprint\lossless microphone\analysis\4.wav 466944 samples (9.73 s) of 32-bit PCM data at 48 kHz
* Measurement: Ch1 4
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 109.701 -174.1094
0.732422 110.083 -167.3547
1.098633 111.035 -161.4244
1.464844 112.412 -159.1758
1.831055 113.798 -161.4516
2.197265 114.891 -167.2673
2.563476 115.567 -175.3118
2.929687 115.790 175.4568
3.295898 115.561 165.7849
3.662109 114.881 156.2074
4.028320 113.744 147.0998
4.394531 112.108 138.6720
4.760742 109.844 130.9203
5.126953 106.547 123.6155
5.493164 100.760 116.5576
5.859375 66.657 -151.8801
6.225585 101.228 -82.7249
6.591796 107.261 -91.8842
6.958007 110.620 -101.8268
7.324218 112.759 -111.8624
7.690429 114.161 -121.5224
8.056640 115.091 -130.5279
8.422851 115.726 -138.9009
8.789062 116.176 -146.9730
9.155273 116.464 -155.1572
9.521484 116.541 -163.5712
9.887695 116.329 -171.7487
10.253905 115.796 -178.5132
10.620116 115.055 177.9623
10.986327 114.539 179.1613
11.352538 114.904 -176.8634
11.718749 116.231 -175.7496
12.084960 117.888 179.6135
12.451171 119.362 170.2070
12.817382 120.451 157.7248
13.183593 121.098 143.3867
13.549804 121.278 127.9786
13.916015 120.959 112.0697
14.282225 120.084 96.2028
14.648436 118.558 81.1099
15.014647 116.223 68.1317
15.380858 112.859 60.4691
15.747069 108.589 67.1874
16.113280 106.793 97.0253
16.479491 109.347 114.1113
16.845702 111.828 112.3691
17.211913 113.526 103.1230
17.578124 114.689 89.7502
17.944335 115.433 72.7090
18.310545 115.738 51.8254
18.676756 115.522 26.7999
19.042967 114.700 -3.0688
19.409178 113.264 -39.6223
19.775389 111.639 -86.3146
20.141600 111.249 -142.5445
20.507811 112.676 164.9991
20.874022 114.315 123.3110
21.240233 115.120 89.4737
21.606444 114.722 61.4139
21.972654 112.788 40.6326
22.338865 109.183 37.7432
22.705076 108.744 66.2458
23.071287 113.061 71.0790
23.437498 115.915 55.0233
23.803709 116.984 32.5018
24.169920 116.418 7.1760
24.536131 113.931 -20.3654
24.902342 108.050 -52.5155
25.268553 93.066 177.0254
25.634764 107.556 87.3119
26.000974 111.195 48.6805
26.367185 111.922 5.0831
26.733396 112.181 -49.3370
27.099607 114.039 -105.1190
27.465818 116.441 -148.5658
27.832029 117.894 178.7681
28.198240 118.021 154.1200
28.564451 116.871 139.3588
28.930662 115.568 140.9324
29.296873 116.982 150.0607
29.663084 119.873 144.0833
30.029294 121.945 126.0377
30.395505 122.845 101.8083
30.761716 122.612 73.2943
31.127927 121.258 39.9460
31.494138 118.857 -1.5266
31.860349 116.314 -57.5670
32.226560 116.120 -122.9055
32.592771 117.643 -177.2030
32.958982 118.659 138.3796
33.325193 118.745 96.9325
33.691404 118.119 54.5200
34.057614 117.238 9.5161
34.423825 116.618 -36.4521
34.790036 116.344 -78.9795
35.156247 116.013 -114.7627
35.522458 115.298 -142.5435
35.888669 114.331 -161.5137
36.254880 113.787 -173.0439
36.621091 114.082 175.8086
36.987302 114.478 158.4358
37.353513 113.965 133.1694
37.719724 111.766 96.1257
38.085934 108.960 27.1177
38.452145 113.284 -51.2637
38.818356 118.422 -94.5576
39.184567 121.725 -126.0911
39.550778 123.651 -153.4275
39.916989 124.469 -178.3069
40.283200 124.256 159.1729
40.649411 122.956 140.1182
41.015622 120.469 128.0845
41.381833 117.407 132.1753
41.748044 117.250 151.1221
42.114254 119.632 154.0027
42.480465 121.185 142.3713
42.846676 121.326 124.9409
43.212887 119.943 105.1614
43.579098 116.519 84.4968
43.945309 108.623 64.4346
44.311520 101.282 -144.6096
44.677731 112.058 -162.1038
45.043942 114.443 177.6833
45.410153 113.547 158.7065
45.776363 108.638 145.9133
46.142574 99.860 -127.8264
46.508785 112.074 -103.6404
46.874996 116.658 -117.9521
47.241207 118.502 -134.3860
47.607418 118.553 -149.4580
47.973629 116.911 -159.6245
48.339840 113.655 -154.3606
48.706051 113.061 -120.2690
49.072262 117.291 -105.4939
49.438473 120.517 -111.7588
49.804683 122.243 -124.1963
50.170894 122.755 -137.7742
50.537105 122.214 -149.5068
50.903316 120.852 -155.5364
51.269527 119.632 -151.4854
51.635738 120.276 -143.5317
52.001949 122.159 -145.8914
52.368160 123.642 -158.6760
52.734371 124.181 -177.5188
53.100582 123.611 160.0356
53.466793 121.643 134.9893
53.833003 117.312 107.0232
54.199214 104.440 61.5447
54.565425 113.106 -114.2327
54.931636 119.895 -147.5110
55.297847 122.857 -177.8835
55.664058 124.065 151.8997
56.030269 123.960 121.1809
56.396480 122.506 88.9714
56.762691 119.240 51.9639
57.128902 113.425 -7.2732
57.495113 114.133 -108.9480
57.861323 119.228 -161.1123
58.227534 121.652 165.2461
58.593745 122.145 136.7661
58.959956 120.915 111.0415
59.326167 117.484 88.3723
59.692378 109.241 76.7517
60.058589 106.664 -173.7661
60.424800 114.833 -177.9282
60.791011 117.129 165.6836
61.157222 116.746 151.3132
61.523433 114.134 146.4067
61.889643 111.044 169.3647
62.255854 113.659 -160.8164
62.622065 116.985 -158.5540
62.988276 118.643 -164.5193
63.354487 119.148 -169.7781
63.720698 119.236 -171.5066
64.086909 119.555 -171.7976
64.453120 119.983 -175.4097
64.819331 119.712 176.1167
65.185542 117.672 165.0261
65.551753 111.049 161.4368
65.917963 110.384 -86.4624
66.284174 120.449 -88.2334
66.650385 125.076 -105.3328
67.016596 127.598 -124.7351
67.382807 128.759 -144.5720
67.749018 128.770 -163.7581
68.115229 127.618 179.2825
68.481440 125.179 168.2739
68.847651 121.921 173.0608
69.213862 121.583 -164.7424
69.580072 124.155 -159.8586
69.946283 125.754 -170.9680
70.312494 125.697 171.9241
70.678705 123.643 152.9131
71.044916 117.906 135.8062
71.411127 105.600 -111.5339
71.777338 120.753 -102.2153
72.143549 125.295 -121.2617
72.509760 127.118 -141.3914
72.875971 127.289 -160.7849
73.242182 126.026 -178.0261
73.608392 123.190 169.9199
73.974603 118.618 173.1592
74.340814 116.280 -150.6025
74.707025 119.520 -130.5693
75.073236 121.909 -131.8994
75.439447 123.056 -137.8223
75.805658 123.561 -144.2085
76.171869 123.763 -151.2427
76.538080 123.632 -160.0310
76.904291 122.893 -170.4666
77.270502 121.204 179.7844
77.636712 118.418 177.3853
78.002923 116.415 -166.0032
78.369134 118.774 -151.8115
78.735345 121.905 -160.8247
79.101556 124.013 178.4258
79.467767 125.219 152.2156
79.833978 125.729 122.9365
80.200189 125.652 91.6506
80.566400 125.004 58.6897
80.932611 123.752 23.5874
81.298822 121.901 -15.2700
81.665032 119.767 -60.6331
82.031243 118.325 -112.5437
82.397454 118.129 -162.0911
82.763665 118.033 157.9412
83.129876 116.803 127.2698
83.496087 113.513 108.0957
83.862298 108.511 123.5320
84.228509 111.769 155.4387
84.594720 115.366 142.1882
84.960931 115.726 110.8716
85.327142 113.425 49.9761
85.693352 117.876 -42.0872
86.059563 125.004 -91.5769
86.425774 129.940 -126.7644
86.791985 133.442 -158.6680
87.158196 135.992 170.1216
87.524407 137.859 138.6931
87.890618 139.213 106.6299
88.256829 140.188 73.7354
88.623040 140.898 39.9829
88.989251 141.445 5.5269
89.355462 141.910 -29.2910
89.721672 142.344 -63.9932
90.087883 142.759 -98.0874
90.454094 143.130 -131.1885
90.820305 143.414 -163.0884
91.186516 143.555 166.2573
91.552727 143.497 136.7861
91.918938 143.177 108.3989
92.285149 142.522 81.0386
92.651360 141.441 54.7905
93.017571 139.805 30.0747
93.383781 137.426 8.1719
93.749992 134.082 -7.0381
94.116203 130.376 -4.6235
94.482414 130.562 13.3921
94.848625 133.709 10.4648
95.214836 136.210 -7.7578
95.581047 137.847 -31.7007
95.947258 138.859 -57.8545
96.313469 139.413 -84.6904
96.679680 139.601 -111.3574
97.045891 139.459 -137.3193
97.412101 138.983 -162.2192
97.778312 138.133 174.2515
98.144523 136.829 152.5835
98.510734 134.951 133.9668
98.876945 132.427 121.5430
99.243156 129.879 121.9556
99.609367 129.832 133.0488
99.975578 132.217 132.3130
100.341789 134.471 118.1333
100.708000 135.942 97.4526
101.074211 136.648 73.8521
101.440421 136.651 49.1284
101.806632 135.959 24.5620
102.172843 134.531 1.6162
102.539054 132.306 -17.2041
102.905265 129.465 -26.7812
103.271476 127.539 -21.7554
103.637687 128.481 -15.9292
104.003898 130.386 -23.1978
104.370109 131.762 -38.1616
104.736320 132.507 -55.6582
105.102531 132.810 -73.4053
105.468741 132.862 -90.7329
105.834952 132.767 -107.9058
106.201163 132.485 -125.4380
106.567374 131.853 -143.3438
106.933585 130.647 -160.6211
107.299796 128.663 -174.5781
107.666007 126.065 -179.2856
108.032218 124.699 -169.9985
108.398429 126.177 -164.9009
108.764640 128.001 -175.1577
109.130851 128.830 166.0093
109.497061 128.523 143.3564
109.863272 127.077 119.3457
110.229483 124.440 96.4253
110.595694 120.648 80.0430
110.961905 117.316 81.4585
111.328116 118.429 86.4595
111.694327 121.242 71.3887
112.060538 123.367 48.2026
112.426749 124.621 25.6641
112.792960 125.171 7.8774
113.159171 125.513 -3.3032
113.525381 126.361 -10.3516
113.891592 127.751 -19.6406
114.257803 128.967 -34.1455
114.624014 129.435 -52.6738
114.990225 128.849 -73.1343
115.356436 126.928 -93.0610
115.722647 123.209 -106.9146
116.088858 118.303 -94.0752
116.455069 120.342 -65.3071
116.821280 124.073 -74.9551
117.187490 125.944 -98.0688
117.553701 126.393 -124.2017
117.919912 125.543 -148.3257
118.286123 123.197 -162.5449
118.652334 121.086 -147.3364
119.018545 125.267 -128.1514
119.384756 130.113 -137.2959
119.750967 133.436 -155.8716
120.117178 135.567 -176.9287
120.483389 136.759 161.5176
120.849600 137.135 140.1777
121.215810 136.727 119.4028
121.582021 135.482 99.5386
121.948232 133.226 81.3037
122.314443 129.565 66.9385
122.680654 123.791 66.2148
123.046865 120.021 108.7754
123.413076 123.858 126.8965
123.779287 125.765 116.0352
124.145498 125.466 97.8271
124.511709 123.138 76.8218
124.877920 118.119 54.2007
125.244130 106.345 28.7705
125.610341 104.791 -167.2866
125.976552 107.694 169.7285
126.342763 94.579 -153.1514
126.708974 111.389 -79.9922
127.075185 117.180 -102.7427
127.441396 118.696 -130.3096
127.807607 116.513 -163.8115
128.173818 107.985 114.1523
128.540029 117.992 -1.1973
128.906240 124.492 -39.2173
129.272450 127.804 -70.8916
129.638661 129.389 -101.4795
130.004872 129.699 -132.0044
130.371083 128.859 -162.6899
130.737294 126.752 166.7622
131.103505 122.802 137.9585
131.469716 114.567 122.6729
131.835927 113.457 -152.1509
132.202138 121.407 -164.5449
132.568349 124.740 167.7163
132.934560 126.089 138.6519
133.300770 125.987 110.3696
133.666981 124.351 84.0723
134.033192 120.399 62.7349
134.399403 111.276 73.6323
134.765614 116.611 147.9224
135.131825 122.709 136.4590
135.498036 125.465 115.9863
135.864247 126.560 94.2856
136.230458 126.497 72.9111
136.596669 125.435 52.7993
136.962880 123.370 35.5068
137.329090 120.288 25.0508
137.695301 117.152 30.2686
138.061512 117.364 44.3667
138.427723 119.708 40.0137
138.793934 121.482 21.3228
139.160145 122.424 -4.2739
139.526356 122.720 -33.6021
139.892567 122.532 -64.8911
140.258778 121.937 -96.5532
140.624989 120.921 -126.7144
140.991199 119.390 -152.7666
141.357410 117.350 -170.2988
141.723621 115.686 -173.2358
142.089832 116.484 -167.9326
142.456043 118.905 -171.6616
142.822254 121.012 176.9468
143.188465 122.415 163.7485
143.554676 123.288 151.7979
143.920887 123.913 141.9507
144.287098 124.492 133.3296
144.653309 124.978 124.5063
145.019519 125.130 115.1626
145.385730 124.709 106.7378
145.751941 123.689 102.4653
146.118152 122.669 106.4346
146.484363 123.038 115.9180
