* Measurement data measured by REW V5.31.3
* Source: C:\Users\aevum\Desktop\Civilizational Blueprint\lossless microphone\analysis\3_cleaned.wav
* Format: Imported Impulse Response, 48000.0 Hz sampling
* Dated: Jun 2, 2026 4:49:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Impulse Response imported from C:\Users\aevum\Desktop\Civilizational Blueprint\lossless microphone\analysis\3_cleaned.wav 459776 samples (9.58 s) of 32-bit PCM data at 48 kHz
* Measurement: Ch1 3_cleaned
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 106.895 179.5389
0.732422 105.714 -178.2546
1.098633 103.897 -172.0814
1.464844 100.828 -158.9530
1.831055 97.101 -106.1750
2.197265 104.686 -55.8905
2.563476 111.220 -54.2343
2.929687 115.465 -63.4914
3.295898 118.268 -76.2636
3.662109 120.024 -90.2103
4.028320 120.953 -104.0693
4.394531 121.228 -116.9101
4.760742 121.042 -128.0547
5.126953 120.639 -137.3997
5.493164 120.254 -145.8927
5.859375 119.983 -155.3183
6.225585 119.739 -167.1002
6.591796 119.409 178.5193
6.958007 118.986 162.2783
7.324218 118.600 145.3707
7.690429 118.435 128.8521
8.056640 118.589 112.9874
8.422851 118.945 97.1879
8.789062 119.181 80.7937
9.155273 118.883 63.7111
9.521484 117.578 46.4766
9.887695 114.494 30.5714
10.253905 107.230 23.6054
10.620116 102.784 132.8757
10.986327 112.076 140.9215
11.352538 115.166 134.0021
11.718749 116.313 132.7195
12.084960 117.676 138.5175
12.451171 120.168 140.2902
12.817382 122.561 131.3389
13.183593 123.933 113.9865
13.549804 123.993 89.9255
13.916015 122.606 57.0202
14.282225 120.401 6.1692
14.648436 121.210 -61.2898
15.014647 124.575 -111.5121
15.380858 126.955 -147.3386
15.747069 127.903 -178.1047
16.113280 127.470 152.3276
16.479491 125.548 121.3622
16.845702 121.764 84.0753
17.211913 116.401 22.9087
17.578124 116.666 -60.8556
17.944335 119.155 -109.2986
18.310545 119.143 -142.6326
18.676756 116.360 -171.6107
19.042967 108.950 160.5026
19.409178 95.801 -42.6788
19.775389 106.895 -75.4537
20.141600 102.758 -127.5963
20.507811 108.989 93.0486
20.874022 117.705 53.5062
21.240233 121.851 24.5873
21.606444 123.577 -3.1042
21.972654 123.305 -32.3116
22.338865 120.736 -68.3399
22.705076 116.234 -135.2556
23.071287 119.924 137.7006
23.437498 124.822 95.4675
23.803709 127.369 66.2227
24.169920 128.246 40.9796
24.536131 127.724 17.7213
24.902342 125.743 -3.9873
25.268553 121.780 -23.6130
25.634764 113.579 -36.4662
26.000974 106.177 83.8062
26.367185 115.818 87.3232
26.733396 118.220 76.8486
27.099607 118.541 69.6655
27.465818 118.370 66.9774
27.832029 118.570 63.7583
28.198240 118.831 53.7092
28.564451 118.426 35.1797
28.930662 116.956 7.8433
29.296873 114.397 -31.4285
29.663084 111.871 -89.5848
30.029294 112.313 -159.2245
30.395505 115.021 142.2572
30.761716 117.940 95.3351
31.127927 120.508 56.6276
31.494138 122.461 24.2952
31.860349 123.637 -3.1523
32.226560 123.946 -26.6863
32.592771 123.300 -46.5034
32.958982 121.552 -61.5079
33.325193 118.559 -67.3281
33.691404 115.406 -52.5594
34.057614 116.380 -27.6919
34.423825 119.130 -24.7991
34.790036 120.752 -35.1605
35.156247 121.114 -51.7147
35.522458 120.334 -73.2579
35.888669 118.542 -101.8809
36.254880 116.440 -142.4324
36.621091 116.029 167.7406
36.987302 117.337 126.3820
37.353513 118.253 96.8073
37.719724 117.898 74.2289
38.085934 115.842 56.7452
38.452145 111.053 47.8888
38.818356 102.435 94.2424
39.184567 109.939 149.9045
39.550778 114.340 147.5096
39.916989 116.006 140.8654
40.283200 116.233 136.7847
40.649411 115.805 137.9834
41.015622 115.575 144.0408
41.381833 115.975 149.8953
41.748044 116.541 151.3187
42.114254 116.659 148.5494
42.480465 115.988 143.4938
42.846676 114.265 138.1963
43.212887 111.049 136.0067
43.579098 105.637 149.3927
43.945309 103.761 -153.5665
44.311520 108.516 -131.1686
44.677731 111.036 -132.7407
45.043942 111.594 -138.5813
45.410153 110.679 -141.9196
45.776363 109.097 -136.0823
46.142574 109.051 -121.9043
46.508785 110.908 -118.1378
46.874996 112.530 -129.1450
47.241207 113.218 -149.7034
47.607418 113.081 -176.8767
47.973629 112.374 151.1782
48.339840 111.188 116.9146
48.706051 109.101 82.9531
49.072262 104.586 49.9102
49.438473 86.452 -16.0551
49.804683 103.565 -175.3975
50.170894 109.075 156.7937
50.537105 110.586 132.1436
50.903316 108.902 109.4893
51.269527 100.048 94.7668
51.635738 104.898 -128.2651
52.001949 113.693 -145.9414
52.368160 117.610 -167.0986
52.734371 119.441 171.2695
53.100582 119.807 149.3584
53.466793 118.840 126.7019
53.833003 116.396 101.4800
54.199214 112.125 66.3374
54.565425 108.616 -1.7056
54.931636 112.414 -61.4170
55.297847 116.105 -89.3960
55.664058 118.450 -108.2083
56.030269 119.859 -124.8999
56.396480 120.444 -141.9534
56.762691 120.113 -160.3684
57.128902 118.600 179.3572
57.495113 115.280 156.3469
57.861323 107.914 124.9648
58.227534 101.647 -28.7910
58.593745 111.592 -78.5767
58.959956 114.592 -110.7634
59.326167 115.096 -146.2900
59.692378 114.469 168.2241
60.058589 114.892 111.5740
60.424800 117.321 60.3726
60.791011 119.795 21.5107
61.157222 121.366 -10.2253
61.523433 121.928 -38.4387
61.889643 121.457 -64.6514
62.255854 119.797 -89.2314
62.622065 116.439 -111.1738
62.988276 109.642 -122.4990
63.354487 104.315 -45.2881
63.720698 112.720 -35.4089
64.086909 115.910 -54.1877
64.453120 116.618 -76.1133
64.819331 115.369 -97.2922
65.185542 111.720 -112.3567
65.551753 105.493 -92.5701
65.917963 109.425 -50.4529
66.284174 113.709 -61.9868
66.650385 115.067 -86.8533
67.016596 114.102 -119.0564
67.382807 110.669 -166.1550
67.749018 108.667 106.2473
68.115229 113.680 36.8604
68.481440 117.166 -4.8796
68.847651 118.670 -39.9102
69.213862 118.596 -72.8530
69.580072 116.902 -103.9192
69.946283 112.757 -127.7302
70.312494 106.549 -96.9641
70.678705 115.058 -70.2761
71.044916 121.104 -93.5154
71.411127 124.914 -122.5117
71.777338 127.408 -151.9155
72.143549 128.870 179.3328
72.509760 129.360 151.4197
72.875971 128.795 124.2876
73.242182 126.873 97.7905
73.608392 122.634 71.6443
73.974603 109.920 43.2341
74.340814 117.732 -156.0679
74.707025 124.854 178.2349
75.073236 128.016 153.2224
75.439447 129.619 128.0801
75.805658 130.367 102.4358
76.171869 130.648 76.0535
76.538080 130.775 49.0308
76.904291 131.002 22.0334
77.270502 131.465 -3.8552
77.636712 132.157 -27.7827
78.002923 132.989 -49.6389
78.369134 133.862 -69.9919
78.735345 134.694 -89.7361
79.101556 135.416 -109.7859
79.467767 135.973 -130.9158
79.833978 136.326 -153.7080
80.200189 136.473 -178.5425
80.566400 136.452 154.4529
80.932611 136.330 125.5283
81.298822 136.161 95.4109
81.665032 135.932 65.1545
82.031243 135.527 35.7314
82.397454 134.758 7.7197
82.763665 133.372 -18.6670
83.129876 130.992 -43.2842
83.496087 126.781 -65.2930
83.862298 117.221 -75.2451
84.228509 118.175 42.6504
84.594720 126.182 31.0254
84.960931 129.430 10.8184
85.327142 130.865 -10.6357
85.693352 131.180 -32.4277
86.059563 130.633 -54.2002
86.425774 129.332 -75.4971
86.791985 127.339 -95.3594
87.158196 124.757 -111.6763
87.524407 122.033 -120.6025
87.890618 120.492 -120.5322
88.256829 121.067 -121.2383
88.623040 122.498 -129.8477
88.989251 123.719 -142.8320
89.355462 124.521 -156.0020
89.721672 125.054 -167.1372
90.087883 125.603 -176.0723
90.454094 126.345 175.4199
90.820305 127.163 165.2339
91.186516 127.777 152.6836
91.552727 127.961 138.4561
91.918938 127.609 123.8940
92.285149 126.735 110.7251
92.651360 125.529 100.9673
93.017571 124.479 95.8740
93.383781 124.172 93.2969
93.749992 124.578 88.6802
94.116203 125.122 80.7817
94.482414 125.439 71.9199
94.848625 125.587 65.0479
95.214836 125.994 61.3750
95.581047 127.060 58.3213
95.947258 128.574 51.9468
96.313469 129.985 41.3140
96.679680 130.926 27.7695
97.045891 131.241 12.9961
97.412101 130.871 -1.4375
97.778312 129.814 -13.7920
98.144523 128.192 -21.7021
98.510734 126.506 -22.5977
98.876945 125.756 -18.0181
99.243156 126.226 -16.2002
99.609367 127.025 -21.4404
99.975578 127.529 -32.0190
100.341789 127.619 -45.7012
100.708000 127.375 -61.1846
101.074211 126.920 -77.7754
101.440421 126.362 -94.9243
101.806632 125.763 -111.8589
102.172843 125.145 -127.4062
102.539054 124.548 -140.1162
102.905265 124.129 -148.8970
103.271476 124.166 -154.3843
103.637687 124.754 -159.5244
104.003898 125.565 -167.0625
104.370109 126.138 -177.3882
104.736320 126.153 170.6807
105.102531 125.425 158.9282
105.468741 123.865 149.8862
105.834952 121.644 147.6904
106.201163 119.855 156.0698
106.567374 119.961 166.3066
106.933585 120.848 166.4448
107.299796 121.018 158.8613
107.666007 120.013 149.1172
108.032218 117.784 142.9043
108.398429 115.094 148.1055
108.764640 114.535 161.5049
109.130851 115.674 160.5698
109.497061 115.843 144.2432
109.863272 114.028 116.5850
110.229483 109.326 67.9956
110.595694 108.492 -36.4551
110.961905 115.075 -100.1143
111.328116 119.131 -141.8252
111.694327 121.652 179.7505
112.060538 123.339 141.7837
112.426749 124.508 104.1387
112.792960 125.266 67.2979
113.159171 125.600 31.7271
113.525381 125.436 -2.2822
113.891592 124.663 -34.5010
114.257803 123.121 -64.5410
114.624014 120.537 -91.4263
114.990225 116.350 -112.0776
115.356436 109.523 -111.2847
115.722647 108.135 -55.9082
116.088858 113.207 -45.7891
116.455069 116.081 -52.5342
116.821280 118.123 -61.6426
117.187490 119.915 -73.9897
117.553701 121.274 -91.4746
117.919912 121.823 -114.4365
118.286123 121.221 -143.3662
118.652334 119.105 177.9082
119.018545 116.202 114.4355
119.384756 118.583 33.7153
119.750967 123.202 -18.5469
120.117178 126.419 -57.5005
120.483389 128.437 -92.3262
120.849600 129.556 -125.4834
121.215810 129.915 -157.6333
121.582021 129.527 171.1426
121.948232 128.286 141.0044
122.314443 125.893 112.3584
122.680654 121.584 86.6050
123.046865 112.492 75.2969
123.413076 111.393 169.6206
123.779287 117.966 156.7705
124.145498 119.075 125.5161
124.511709 117.249 75.7656
124.877920 118.196 -6.8838
125.244130 123.956 -64.0752
125.610341 128.105 -99.8198
125.976552 130.519 -129.5391
126.342763 131.517 -157.5938
126.708974 131.121 173.8604
127.075185 128.989 141.6294
127.441396 124.350 92.9512
127.807607 123.461 -3.9453
128.173818 129.533 -61.9653
128.540029 133.168 -95.8301
128.906240 134.945 -124.3154
129.272450 135.346 -151.2178
129.638661 134.469 -177.9673
130.004872 132.115 154.0405
130.371083 127.539 120.8584
130.737294 119.286 54.7427
131.103505 122.595 -52.7964
131.469716 126.946 -94.2051
131.835927 128.057 -124.5981
132.202138 126.917 -154.2114
132.568349 123.307 170.1802
132.934560 117.521 99.9097
133.300770 121.465 11.7153
133.666981 125.877 -27.0806
134.033192 127.859 -53.9126
134.399403 128.220 -76.8545
134.765614 127.202 -97.3452
135.131825 124.634 -114.5332
135.498036 119.752 -122.0679
135.864247 114.068 -82.5879
136.230458 119.492 -48.8008
136.596669 123.449 -57.5728
136.962880 125.306 -74.3550
137.329090 125.885 -92.8398
137.695301 125.548 -110.8125
138.061512 124.511 -126.5776
138.427723 123.014 -138.3633
138.793934 121.463 -144.9419
139.160145 120.346 -147.4443
139.526356 119.777 -149.1416
139.892567 119.466 -151.6274
140.258778 119.304 -154.5117
140.624989 119.412 -158.7935
140.991199 119.671 -167.4390
141.357410 119.617 177.4180
141.723621 118.813 154.9385
142.089832 117.108 123.5581
142.456043 115.012 80.5659
142.822254 113.832 30.2529
143.188465 113.050 -13.0181
143.554676 109.724 -42.5293
143.920887 99.775 11.8804
144.287098 113.604 49.2056
144.653309 119.663 27.7402
145.019519 122.740 2.4478
145.385730 124.099 -24.3843
