* Measurement data measured by REW V5.31.3
* Source: C:\Users\aevum\Desktop\Civilizational Blueprint\lossless microphone\analysis\3_static_only.wav
* Format: Imported Impulse Response, 48000.0 Hz sampling
* Dated: Jun 2, 2026 4:49:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Impulse Response imported from C:\Users\aevum\Desktop\Civilizational Blueprint\lossless microphone\analysis\3_static_only.wav 459776 samples (9.58 s) of 32-bit PCM data at 48 kHz
* Measurement: Ch1 3_static_only
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 112.581 1.0250
0.732422 112.599 2.0405
1.098633 112.629 3.0372
1.464844 112.671 4.0061
1.831055 112.724 4.9389
2.197265 112.786 5.8280
2.563476 112.858 6.6666
2.929687 112.938 7.4489
3.295898 113.026 8.1699
3.662109 113.120 8.8256
4.028320 113.219 9.4130
4.394531 113.322 9.9298
4.760742 113.428 10.3746
5.126953 113.536 10.7466
5.493164 113.646 11.0458
5.859375 113.755 11.2725
6.225585 113.865 11.4275
6.591796 113.973 11.5121
6.958007 114.078 11.5277
7.324218 114.182 11.4761
7.690429 114.281 11.3589
8.056640 114.378 11.1783
8.422851 114.469 10.9360
8.789062 114.556 10.6341
9.155273 114.638 10.2746
9.521484 114.714 9.8594
9.887695 114.785 9.3904
10.253905 114.849 8.8692
10.620116 114.907 8.2977
10.986327 114.958 7.6772
11.352538 115.002 7.0094
11.718749 115.039 6.2955
12.084960 115.069 5.5367
12.451171 115.092 4.7342
12.817382 115.106 3.8887
13.183593 115.113 3.0011
13.549804 115.112 2.0721
13.916015 115.102 1.1021
14.282225 115.085 0.0915
14.648436 115.058 -0.9596
15.014647 115.023 -2.0511
15.380858 114.980 -3.1832
15.747069 114.927 -4.3562
16.113280 114.865 -5.5706
16.479491 114.794 -6.8273
16.845702 114.713 -8.1270
17.211913 114.622 -9.4711
17.578124 114.522 -10.8610
17.944335 114.411 -12.2983
18.310545 114.290 -13.7851
18.676756 114.158 -15.3238
19.042967 114.016 -16.9172
19.409178 113.862 -18.5682
19.775389 113.697 -20.2807
20.141600 113.521 -22.0587
20.507811 113.333 -23.9070
20.874022 113.133 -25.8310
21.240233 112.920 -27.8366
21.606444 112.696 -29.9310
21.972654 112.459 -32.1219
22.338865 112.210 -34.4184
22.705076 111.948 -36.8304
23.071287 111.675 -39.3692
23.437498 111.389 -42.0477
23.803709 111.092 -44.8797
24.169920 110.786 -47.8809
24.536131 110.470 -51.0684
24.902342 110.147 -54.4603
25.268553 109.819 -58.0757
25.634764 109.490 -61.9340
26.000974 109.164 -66.0537
26.367185 108.845 -70.4511
26.733396 108.539 -75.1380
27.099607 108.255 -80.1194
27.465818 107.999 -85.3907
27.832029 107.781 -90.9342
28.198240 107.608 -96.7173
28.564451 107.489 -102.6918
28.930662 107.430 -108.7945
29.296873 107.433 -114.9521
29.663084 107.500 -121.0867
30.029294 107.627 -127.1229
30.395505 107.810 -132.9941
30.761716 108.041 -138.6474
31.127927 108.312 -144.0455
31.494138 108.615 -149.1669
31.860349 108.940 -154.0032
32.226560 109.280 -158.5569
32.592771 109.630 -162.8385
32.958982 109.984 -166.8633
33.325193 110.336 -170.6493
33.691404 110.685 -174.2160
34.057614 111.027 -177.5829
34.423825 111.360 179.2315
34.790036 111.682 176.2093
35.156247 111.994 173.3345
35.522458 112.293 170.5922
35.888669 112.580 167.9689
36.254880 112.854 165.4529
36.621091 113.116 163.0332
36.987302 113.364 160.7003
37.353513 113.599 158.4456
37.719724 113.821 156.2615
38.085934 114.031 154.1413
38.452145 114.227 152.0789
38.818356 114.412 150.0688
39.184567 114.584 148.1063
39.550778 114.744 146.1870
39.916989 114.892 144.3069
40.283200 115.027 142.4626
40.649411 115.152 140.6509
41.015622 115.264 138.8691
41.381833 115.365 137.1143
41.748044 115.454 135.3844
42.114254 115.532 133.6770
42.480465 115.599 131.9903
42.846676 115.654 130.3224
43.212887 115.698 128.6716
43.579098 115.730 127.0363
43.945309 115.751 125.4152
44.311520 115.760 123.8068
44.677731 115.757 122.2098
45.043942 115.743 120.6230
45.410153 115.716 119.0451
45.776363 115.678 117.4752
46.142574 115.626 115.9120
46.508785 115.562 114.3545
46.874996 115.485 112.8016
47.241207 115.395 111.2521
47.607418 115.291 109.7049
47.973629 115.172 108.1589
48.339840 115.038 106.6129
48.706051 114.889 105.0655
49.072262 114.724 103.5154
49.438473 114.542 101.9610
49.804683 114.341 100.4007
50.170894 114.122 98.8326
50.537105 113.883 97.2546
50.903316 113.622 95.6642
51.269527 113.338 94.0585
51.635738 113.029 92.4343
52.001949 112.694 90.7875
52.368160 112.329 89.1132
52.734371 111.932 87.4054
53.100582 111.499 85.6568
53.466793 111.026 83.8579
53.833003 110.509 81.9966
54.199214 109.942 80.0572
54.565425 109.316 78.0182
54.931636 108.623 75.8510
55.297847 107.851 73.5144
55.664058 106.985 70.9492
56.030269 106.004 68.0662
56.396480 104.881 64.7245
56.762691 103.578 60.6909
57.128902 102.046 55.5525
57.495113 100.220 48.5237
57.861323 98.043 37.9988
58.227534 95.623 20.6990
58.593745 93.835 -7.5379
58.959956 94.375 -40.7943
59.326167 96.689 -64.7651
59.692378 99.162 -79.0398
60.058589 101.311 -87.9940
60.424800 103.124 -94.1809
60.791011 104.667 -98.8265
61.157222 106.002 -102.5452
61.523433 107.172 -105.6684
61.889643 108.212 -108.3888
62.255854 109.146 -110.8246
62.622065 109.992 -113.0520
62.988276 110.763 -115.1225
63.354487 111.471 -117.0719
63.720698 112.125 -118.9259
64.086909 112.731 -120.7033
64.453120 113.295 -122.4183
64.819331 113.821 -124.0818
65.185542 114.313 -125.7022
65.551753 114.775 -127.2861
65.917963 115.209 -128.8390
66.284174 115.617 -130.3650
66.650385 116.002 -131.8678
67.016596 116.365 -133.3502
67.382807 116.709 -134.8147
67.749018 117.033 -136.2634
68.115229 117.339 -137.6979
68.481440 117.629 -139.1196
68.847651 117.903 -140.5300
69.213862 118.162 -141.9300
69.580072 118.407 -143.3206
69.946283 118.639 -144.7025
70.312494 118.857 -146.0765
70.678705 119.063 -147.4432
71.044916 119.256 -148.8032
71.411127 119.439 -150.1568
71.777338 119.610 -151.5045
72.143549 119.770 -152.8468
72.509760 119.920 -154.1838
72.875971 120.059 -155.5159
73.242182 120.188 -156.8433
73.608392 120.307 -158.1663
73.974603 120.417 -159.4849
74.340814 120.518 -160.7995
74.707025 120.609 -162.1100
75.073236 120.690 -163.4168
75.439447 120.763 -164.7197
75.805658 120.827 -166.0189
76.171869 120.881 -167.3145
76.538080 120.927 -168.6064
76.904291 120.964 -169.8948
77.270502 120.992 -171.1796
77.636712 121.012 -172.4608
78.002923 121.022 -173.7382
78.369134 121.024 -175.0121
78.735345 121.017 -176.2822
79.101556 121.001 -177.5483
79.467767 120.975 -178.8105
79.833978 120.941 179.9314
80.200189 120.897 178.6776
80.566400 120.844 177.4283
80.932611 120.781 176.1837
81.298822 120.709 174.9440
81.665032 120.626 173.7095
82.031243 120.534 172.4807
82.397454 120.430 171.2578
82.763665 120.316 170.0412
83.129876 120.191 168.8315
83.496087 120.055 167.6292
83.862298 119.906 166.4350
84.228509 119.745 165.2496
84.594720 119.572 164.0737
84.960931 119.385 162.9085
85.327142 119.183 161.7549
85.693352 118.968 160.6143
86.059563 118.736 159.4880
86.425774 118.488 158.3778
86.791985 118.223 157.2859
87.158196 117.939 156.2144
87.524407 117.635 155.1663
87.890618 117.309 154.1448
88.256829 116.961 153.1540
88.623040 116.588 152.1990
88.989251 116.187 151.2854
89.355462 115.757 150.4209
89.721672 115.293 149.6146
90.087883 114.793 148.8782
90.454094 114.253 148.2269
90.820305 113.666 147.6798
91.186516 113.026 147.2629
91.552727 112.327 147.0114
91.918938 111.558 146.9731
92.285149 110.708 147.2167
92.651360 109.762 147.8418
93.017571 108.701 148.9992
93.383781 107.504 150.9247
93.749992 106.145 154.0020
94.116203 104.606 158.8762
94.482414 102.904 166.6345
94.848625 101.189 178.9202
95.214836 99.923 -162.9373
95.581047 99.817 -141.2023
95.947258 100.959 -122.1305
96.313469 102.668 -108.9009
96.679680 104.415 -100.5092
97.045891 106.011 -95.2493
97.412101 107.427 -91.9385
97.778312 108.676 -89.8707
98.144523 109.785 -88.6276
98.510734 110.776 -87.9535
98.876945 111.668 -87.6864
99.243156 112.476 -87.7194
99.609367 113.212 -87.9799
99.975578 113.887 -88.4166
100.341789 114.509 -88.9930
100.708000 115.083 -89.6819
101.074211 115.615 -90.4630
101.440421 116.111 -91.3207
101.806632 116.572 -92.2430
102.172843 117.003 -93.2203
102.539054 117.407 -94.2452
102.905265 117.785 -95.3115
103.271476 118.139 -96.4143
103.637687 118.472 -97.5497
104.003898 118.784 -98.7142
104.370109 119.078 -99.9053
104.736320 119.354 -101.1205
105.102531 119.613 -102.3583
105.468741 119.856 -103.6168
105.834952 120.084 -104.8949
106.201163 120.298 -106.1915
106.567374 120.498 -107.5057
106.933585 120.685 -108.8370
107.299796 120.859 -110.1847
107.666007 121.021 -111.5484
108.032218 121.172 -112.9279
108.398429 121.311 -114.3230
108.764640 121.439 -115.7335
109.130851 121.556 -117.1595
109.497061 121.663 -118.6012
109.863272 121.760 -120.0586
110.229483 121.847 -121.5321
110.595694 121.923 -123.0219
110.961905 121.990 -124.5284
111.328116 122.048 -126.0523
111.694327 122.096 -127.5941
112.060538 122.135 -129.1544
112.426749 122.165 -130.7340
112.792960 122.185 -132.3337
113.159171 122.197 -133.9546
113.525381 122.199 -135.5976
113.891592 122.192 -137.2639
114.257803 122.177 -138.9549
114.624014 122.152 -140.6719
114.990225 122.119 -142.4166
115.356436 122.076 -144.1907
115.722647 122.025 -145.9960
116.088858 121.964 -147.8346
116.455069 121.895 -149.7089
116.821280 121.817 -151.6214
117.187490 121.729 -153.5748
117.553701 121.632 -155.5723
117.919912 121.527 -157.6169
118.286123 121.412 -159.7126
118.652334 121.288 -161.8633
119.018545 121.156 -164.0735
119.384756 121.014 -166.3479
119.750967 120.864 -168.6918
120.117178 120.705 -171.1111
120.483389 120.537 -173.6120
120.849600 120.362 -176.2012
121.215810 120.179 -178.8864
121.582021 119.989 178.3249
121.948232 119.793 175.4240
122.314443 119.591 172.4022
122.680654 119.386 169.2504
123.046865 119.177 165.9590
123.413076 118.968 162.5190
123.779287 118.759 158.9217
124.145498 118.554 155.1591
124.511709 118.356 151.2251
124.877920 118.167 147.1155
125.244130 117.991 142.8294
125.610341 117.832 138.3698
125.976552 117.694 133.7444
126.342763 117.582 128.9667
126.708974 117.499 124.0558
127.075185 117.449 119.0368
127.441396 117.434 113.9401
127.807607 117.457 108.7999
128.173818 117.519 103.6534
128.540029 117.618 98.5375
128.906240 117.753 93.4879
129.272450 117.923 88.5364
129.638661 118.123 83.7101
130.004872 118.351 79.0306
130.371083 118.601 74.5129
130.737294 118.870 70.1670
131.103505 119.154 65.9974
131.469716 119.449 62.0043
131.835927 119.752 58.1848
132.202138 120.059 54.5334
132.568349 120.369 51.0425
132.934560 120.680 47.7039
133.300770 120.988 44.5083
133.666981 121.294 41.4464
134.033192 121.595 38.5090
134.399403 121.891 35.6871
134.765614 122.180 32.9722
135.131825 122.464 30.3559
135.498036 122.740 27.8309
135.864247 123.009 25.3901
136.230458 123.270 23.0270
136.596669 123.524 20.7357
136.962880 123.769 18.5106
137.329090 124.007 16.3467
137.695301 124.237 14.2396
138.061512 124.460 12.1847
138.427723 124.674 10.1785
138.793934 124.881 8.2177
139.160145 125.080 6.2985
139.526356 125.272 4.4186
139.892567 125.456 2.5750
140.258778 125.634 0.7653
140.624989 125.804 -1.0125
140.991199 125.966 -2.7606
141.357410 126.122 -4.4810
141.723621 126.271 -6.1750
142.089832 126.414 -7.8445
142.456043 126.550 -9.4909
142.822254 126.679 -11.1154
143.188465 126.802 -12.7192
143.554676 126.918 -14.3035
143.920887 127.029 -15.8693
144.287098 127.133 -17.4174
144.653309 127.231 -18.9489
145.019519 127.323 -20.4645
145.385730 127.409 -21.9648
145.751941 127.489 -23.4508
