* Measurement data measured by REW V5.31.3
* Source: C:\Users\aevum\Desktop\Civilizational Blueprint\lossless microphone\3.wav
* Format: Imported Impulse Response, 48000.0 Hz sampling
* Dated: May 26, 2026 12:06:55 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Impulse Response imported from C:\Users\aevum\Desktop\Civilizational Blueprint\lossless microphone\3.wav 459776 samples (9.58 s) of 32-bit PCM data at 48 kHz
* Measurement: Ch2 3
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 103.627 -138.3321
0.732422 107.488 -132.6106
1.098633 109.258 -135.5771
1.464844 109.276 -137.9983
1.831055 107.777 -130.2175
2.197265 107.668 -99.4377
2.563476 112.129 -77.9048
2.929687 116.464 -78.5909
3.295898 119.504 -87.8478
3.662109 121.492 -100.1227
4.028320 122.662 -113.2628
4.394531 123.195 -126.1526
4.760742 123.254 -138.1236
5.126953 123.022 -148.9315
5.493164 122.681 -158.9272
5.859375 122.356 -169.0390
6.225585 122.073 179.7227
6.591796 121.796 166.8832
6.958007 121.511 152.6644
7.324218 121.266 137.6902
7.690429 121.137 122.5305
8.056640 121.151 107.3359
8.422851 121.206 91.8466
8.789062 121.073 75.7728
9.155273 120.426 59.1407
9.521484 118.840 42.4282
9.887695 115.580 26.9652
10.253905 108.376 19.3795
10.620116 102.358 128.6630
10.986327 112.135 140.4144
11.352538 115.278 134.9390
11.718749 116.554 135.2894
12.084960 118.197 141.5555
12.451171 120.817 142.3385
12.817382 123.151 132.7450
13.183593 124.405 115.3829
13.549804 124.298 91.7097
13.916015 122.608 59.2075
14.282225 119.868 6.2809
14.648436 120.997 -66.3512
15.014647 124.882 -115.8513
15.380858 127.410 -150.2624
15.747069 128.389 -179.9923
16.113280 127.938 151.2715
16.479491 125.939 121.0540
16.845702 121.916 84.1631
17.211913 116.111 18.8392
17.578124 117.600 -68.0784
17.944335 120.603 -112.8608
18.310545 120.998 -143.7290
18.676756 119.068 -169.7321
19.042967 114.440 169.3441
19.409178 106.083 169.7433
19.775389 104.217 -154.4805
20.141600 107.347 159.9753
20.507811 113.706 98.5505
20.874022 119.215 59.4626
21.240233 122.424 28.6704
21.606444 123.659 -0.0933
21.972654 122.909 -30.1288
22.338865 119.505 -68.7123
22.705076 114.956 -153.7301
23.071287 121.342 126.8251
23.437498 126.025 90.7615
23.803709 128.337 63.3992
24.169920 129.051 38.8834
24.536131 128.399 15.8156
24.902342 126.281 -6.2433
25.268553 122.099 -27.4518
25.634764 113.025 -48.4525
26.000974 108.053 118.6804
26.367185 117.206 100.6742
26.733396 119.614 88.1051
27.099607 120.188 80.3748
27.465818 120.341 76.2773
27.832029 120.643 71.0354
28.198240 120.780 60.2866
28.564451 120.188 43.0731
28.930662 118.448 19.3652
29.296873 115.135 -13.0381
29.663084 109.832 -66.0198
30.029294 108.285 -162.6743
30.395505 113.430 129.0024
30.761716 117.483 83.9625
31.127927 120.486 47.2762
31.494138 122.639 16.0406
31.860349 123.946 -11.0591
32.226560 124.375 -34.8740
32.592771 123.865 -55.7310
32.958982 122.273 -73.1326
33.325193 119.332 -84.5459
33.691404 114.957 -80.2678
34.057614 113.171 -47.5862
34.423825 116.168 -33.6056
34.790036 118.151 -42.0992
35.156247 118.484 -59.9924
35.522458 117.412 -85.8828
35.888669 115.558 -124.6108
36.254880 115.289 -177.0674
36.621091 117.456 138.2939
36.987302 119.473 107.8689
37.353513 120.383 85.1758
37.719724 120.089 66.9990
38.085934 118.510 52.9797
38.452145 115.402 45.6736
38.818356 110.684 55.7825
39.184567 108.797 97.2314
39.550778 111.760 119.9817
39.916989 113.697 124.6348
40.283200 114.436 126.5239
40.649411 114.624 129.5898
41.015622 114.670 133.4380
41.381833 114.587 136.7871
41.748044 114.205 139.9014
42.114254 113.517 144.4001
42.480465 112.800 151.2778
42.846676 112.338 159.0923
43.212887 111.998 165.6033
43.579098 111.425 171.2759
43.945309 110.612 179.0178
44.311520 110.171 -169.8521
44.677731 110.624 -160.0400
45.043942 111.444 -156.5361
45.410153 111.938 -158.5481
45.776363 111.946 -163.2900
46.142574 111.703 -169.0513
46.508785 111.600 -176.3120
46.874996 111.859 172.6860
47.241207 112.383 156.5010
47.607418 112.935 136.0239
47.973629 113.253 113.4868
48.339840 113.027 91.1128
48.706051 111.876 70.9246
49.072262 109.311 56.3845
49.438473 105.107 59.1067
49.804683 104.121 91.1721
50.170894 107.347 97.2483
50.537105 108.512 79.7603
50.903316 106.909 45.3638
51.269527 105.162 -27.3467
51.635738 110.735 -95.4722
52.001949 115.600 -131.2239
52.368160 118.475 -158.0188
52.734371 119.894 178.0571
53.100582 120.112 155.1497
53.466793 119.187 132.0613
53.833003 117.016 106.7185
54.199214 113.445 72.8384
54.565425 110.320 14.1697
54.931636 112.943 -45.8665
55.297847 116.564 -78.7695
55.664058 119.021 -101.4114
56.030269 120.473 -121.3347
56.396480 121.026 -141.1057
56.762691 120.631 -161.7920
57.128902 119.084 175.9226
57.495113 115.856 150.8376
57.861323 109.209 116.9797
58.227534 101.038 -14.3479
58.593745 110.926 -82.1404
58.959956 114.353 -118.5007
59.326167 115.493 -156.6926
59.692378 115.920 158.6626
60.058589 116.971 109.7844
60.424800 118.854 64.9993
60.791011 120.679 27.4758
61.157222 121.875 -4.7734
61.523433 122.259 -33.7886
61.889643 121.727 -60.5811
62.255854 120.078 -85.1555
62.622065 116.786 -105.6125
62.988276 110.485 -109.6035
63.354487 108.564 -49.0044
63.720698 115.064 -42.8547
64.086909 118.159 -60.1497
64.453120 119.179 -81.0459
64.819331 118.578 -101.4248
65.185542 116.288 -117.2463
65.551753 112.391 -116.8445
65.917963 111.680 -89.6313
66.284174 115.149 -86.9014
66.650385 117.133 -105.9131
67.016596 117.260 -134.8799
67.382807 115.805 -174.1763
67.749018 113.937 129.1648
68.115229 114.789 63.0591
68.481440 117.118 11.9639
68.847651 118.389 -27.7864
69.213862 118.128 -62.7710
69.580072 116.034 -94.5312
69.946283 110.876 -116.2615
70.312494 106.472 -63.5962
70.678705 115.955 -58.5222
71.044916 121.478 -86.8826
71.411127 125.100 -118.4297
71.777338 127.559 -149.4905
72.143549 129.054 -179.3269
72.509760 129.603 152.0994
72.875971 129.102 124.6497
73.242182 127.238 98.1921
73.608392 123.033 72.7720
73.974603 110.159 51.5208
74.340814 118.408 -160.5952
74.707025 125.492 175.9561
75.073236 128.649 151.7427
75.439447 130.233 127.2017
75.805658 130.932 102.1333
76.171869 131.127 76.2876
76.538080 131.132 49.6436
76.904291 131.226 22.7305
77.270502 131.592 -3.3618
77.636712 132.249 -27.6084
78.002923 133.103 -49.7344
78.369134 134.035 -70.2593
78.735345 134.941 -90.1001
79.101556 135.737 -110.2031
79.467767 136.360 -131.3608
79.833978 136.770 -154.1675
80.200189 136.964 -179.0156
80.566400 136.982 153.9521
80.932611 136.898 124.9805
81.298822 136.771 94.8149
81.665032 136.589 64.5537
82.031243 136.237 35.2153
82.397454 135.518 7.4175
82.763665 134.181 -18.5742
83.129876 131.851 -42.4692
83.496087 127.725 -62.8872
83.862298 118.829 -66.7266
84.228509 119.541 32.9146
84.594720 127.092 26.8828
84.960931 130.271 8.4116
85.327142 131.653 -11.9580
85.693352 131.902 -32.7954
86.059563 131.268 -53.5557
86.425774 129.858 -73.6567
86.791985 127.749 -91.9839
87.158196 125.122 -106.2559
87.524407 122.630 -113.1606
87.890618 121.632 -114.0889
88.256829 122.426 -118.9277
88.623040 123.752 -130.7388
88.989251 124.843 -145.4297
89.355462 125.554 -159.3105
89.721672 126.033 -170.3989
90.087883 126.578 -178.6841
90.454094 127.385 173.7275
90.820305 128.315 164.3682
91.186516 129.048 152.4497
91.552727 129.333 138.7129
91.918938 129.059 124.5386
92.285149 128.231 111.6348
92.651360 127.020 102.0073
93.017571 125.892 97.0840
93.383781 125.474 95.0713
93.749992 125.830 91.2476
94.116203 126.414 83.7998
94.482414 126.833 74.7061
94.848625 127.101 66.6943
95.214836 127.538 61.0562
95.581047 128.472 56.1719
95.947258 129.799 48.9722
96.313469 131.089 38.2627
96.679680 131.987 24.8784
97.045891 132.311 10.2451
97.412101 131.975 -4.1743
97.778312 130.946 -16.6958
98.144523 129.300 -24.9189
98.510734 127.483 -25.7979
98.876945 126.586 -19.9062
99.243156 127.110 -16.2617
99.609367 128.066 -20.5317
99.975578 128.688 -30.9043
100.341789 128.815 -44.8535
100.708000 128.511 -60.9492
101.074211 127.900 -78.4385
101.440421 127.118 -96.7095
101.806632 126.280 -114.8647
102.172843 125.475 -131.5132
102.539054 124.794 -144.9868
102.905265 124.418 -154.1958
103.271476 124.596 -160.0815
103.637687 125.340 -165.7578
104.003898 126.272 -173.7192
104.370109 126.945 175.8545
104.736320 127.074 164.1309
105.102531 126.509 152.7627
105.468741 125.204 143.9702
105.834952 123.356 140.9683
106.201163 121.805 146.1094
106.567374 121.610 153.3984
106.933585 122.150 153.5186
107.299796 122.211 146.6938
107.666007 121.272 137.1045
108.032218 119.203 129.3687
108.398429 116.395 129.8535
108.764640 114.776 140.3735
109.130851 115.206 142.4736
109.497061 115.274 127.4492
109.863272 113.680 97.1021
110.229483 110.716 41.6924
110.595694 112.003 -39.3843
110.961905 116.514 -96.4673
111.328116 119.838 -139.6392
111.694327 122.125 -179.4102
112.060538 123.782 141.9482
112.426749 124.995 104.4121
112.792960 125.782 68.3457
113.159171 126.079 33.9204
113.525381 125.800 1.1221
113.891592 124.840 -30.0479
114.257803 123.054 -59.3325
114.624014 120.178 -85.8140
114.990225 115.622 -106.4180
115.356436 108.090 -104.8696
115.722647 106.945 -42.0825
116.088858 112.414 -32.7661
116.455069 115.603 -39.1777
116.821280 118.120 -48.8403
117.187490 120.316 -62.9697
117.553701 121.904 -82.2295
117.919912 122.558 -106.0396
118.286123 121.951 -134.3618
118.652334 119.519 -170.1807
119.018545 114.745 127.4595
119.384756 117.305 27.6426
119.750967 123.295 -24.5737
120.117178 126.957 -61.3857
120.483389 129.140 -94.5220
120.849600 130.304 -126.3574
121.215810 130.638 -157.4839
121.582021 130.185 172.0576
121.948232 128.855 142.5107
122.314443 126.360 114.5181
122.680654 121.918 90.3052
123.046865 112.945 87.6167
123.413076 114.022 164.6909
123.779287 119.689 152.1006
124.145498 121.025 122.1997
124.511709 119.884 78.6187
124.877920 119.338 8.6611
125.244130 123.591 -56.0146
125.610341 127.719 -97.0620
125.976552 130.269 -129.3467
126.342763 131.409 -159.0029
126.708974 131.171 171.1230
127.075185 129.303 137.4541
127.441396 125.415 88.2329
127.807607 124.565 1.2646
128.173818 129.745 -58.3218
128.540029 133.244 -94.0332
128.906240 134.998 -123.4434
129.272450 135.381 -150.8564
129.638661 134.459 -177.9282
130.004872 131.979 153.7461
130.371083 127.030 119.3613
130.737294 118.502 39.9292
131.103505 124.238 -59.0054
131.469716 128.273 -96.2451
131.835927 129.292 -125.2812
132.202138 128.187 -153.6201
132.568349 124.707 173.5376
132.934560 118.124 112.0259
133.300770 120.871 12.5425
133.666981 125.843 -28.6592
134.033192 128.012 -55.5630
134.399403 128.407 -78.3345
134.765614 127.328 -98.6270
135.131825 124.579 -115.6167
135.498036 119.207 -122.3975
135.864247 113.312 -72.5479
136.230458 119.769 -41.9526
136.596669 123.543 -52.2383
136.962880 125.168 -69.0547
137.329090 125.527 -87.1406
137.695301 125.012 -104.5630
138.061512 123.903 -119.8369
138.427723 122.523 -131.7432
138.793934 121.271 -140.2456
139.160145 120.388 -147.1753
139.526356 119.720 -154.2783
139.892567 119.018 -160.9546
140.258778 118.397 -165.5186
140.624989 118.329 -169.1919
140.991199 118.863 -177.2842
141.357410 119.382 166.5840
141.723621 119.398 142.1406
142.089832 118.912 109.8384
142.456043 118.335 71.3267
142.822254 117.949 31.8638
143.188465 117.186 -2.1074
143.554676 114.858 -24.7451
143.920887 110.598 -13.6582
144.287098 114.633 23.9438
144.653309 120.185 16.1660
145.019519 123.281 -4.2949
145.385730 124.671 -28.5752
145.751941 124.715 -55.4189
146.118152 123.580 -85.8774
