Frequency (Hz)	Level (dB)
375.000000	-28.986380
750.000000	-31.538521
1125.000000	-39.876930
1500.000000	-42.014053
1875.000000	-46.951843
2250.000000	-51.380722
2625.000000	-52.656181
3000.000000	-50.313786
3375.000000	-49.446812
3750.000000	-53.237251
4125.000000	-57.582912
4500.000000	-57.865547
4875.000000	-56.591129
5250.000000	-58.494576
5625.000000	-60.120415
6000.000000	-59.801208
6375.000000	-57.284466
6750.000000	-57.354511
7125.000000	-58.885109
7500.000000	-59.211308
7875.000000	-59.870544
8250.000000	-60.432053
8625.000000	-60.893589
9000.000000	-61.843632
9375.000000	-62.594349
9750.000000	-62.715065
10125.000000	-62.550735
10500.000000	-63.082497
10875.000000	-63.344669
11250.000000	-63.162678
11625.000000	-63.180851
12000.000000	-63.053932
12375.000000	-62.601059
12750.000000	-59.593849
13125.000000	-58.073895
13500.000000	-62.082790
13875.000000	-63.027905
14250.000000	-63.253769
14625.000000	-63.216179
15000.000000	-63.358925
15375.000000	-63.462383
15750.000000	-63.512833
16125.000000	-63.484295
16500.000000	-63.317150
16875.000000	-63.574314
17250.000000	-63.802742
17625.000000	-63.629059
18000.000000	-63.797035
18375.000000	-63.671867
18750.000000	-63.508625
19125.000000	-62.178261
19500.000000	-58.647350
19875.000000	-61.478947
20250.000000	-64.194817
20625.000000	-64.124680
21000.000000	-63.954212
21375.000000	-63.975906
21750.000000	-64.050446
22125.000000	-64.046394
22500.000000	-63.996178
22875.000000	-64.068077
23250.000000	-64.084419
23625.000000	-63.949642
24000.000000	-64.033356
24375.000000	-64.143562
24750.000000	-64.317131
25125.000000	-64.337524
25500.000000	-64.251434
25875.000000	-64.163925
26250.000000	-64.305031
26625.000000	-64.281425
27000.000000	-64.329369
27375.000000	-64.326500
27750.000000	-64.296822
28125.000000	-64.418709
28500.000000	-64.266029
28875.000000	-64.157280
29250.000000	-64.497337
29625.000000	-64.553642
30000.000000	-64.286964
30375.000000	-64.091766
30750.000000	-64.220703
31125.000000	-64.336876
31500.000000	-64.384575
31875.000000	-64.381493
32250.000000	-64.140945
32625.000000	-64.302292
33000.000000	-64.405830
33375.000000	-64.443924
33750.000000	-64.387115
34125.000000	-64.318550
34500.000000	-64.192368
34875.000000	-64.308525
35250.000000	-64.320351
35625.000000	-64.129364
36000.000000	-64.201279
36375.000000	-64.302254
36750.000000	-64.399483
37125.000000	-64.455788
37500.000000	-64.481865
37875.000000	-64.473663
38250.000000	-64.468712
38625.000000	-64.438255
39000.000000	-64.366890
39375.000000	-64.306351
39750.000000	-64.564842
40125.000000	-64.819283
40500.000000	-64.719559
40875.000000	-64.921402
41250.000000	-64.864136
41625.000000	-64.745979
42000.000000	-64.812050
42375.000000	-64.905449
42750.000000	-64.861694
43125.000000	-64.612404
43500.000000	-64.574364
43875.000000	-64.663757
44250.000000	-64.311882
44625.000000	-64.479256
45000.000000	-64.787430
45375.000000	-64.780945
45750.000000	-64.823273
46125.000000	-64.783707
46500.000000	-64.921829
46875.000000	-64.693756
47250.000000	-64.834068
47625.000000	-64.845894
48000.000000	-64.749878
48375.000000	-64.820663
48750.000000	-64.769310
49125.000000	-64.854233
49500.000000	-64.855637
49875.000000	-64.757164
50250.000000	-64.699638
50625.000000	-64.735855
51000.000000	-64.771698
51375.000000	-64.869522
51750.000000	-64.905693
52125.000000	-65.025299
52500.000000	-65.206177
52875.000000	-64.791748
53250.000000	-64.723557
53625.000000	-64.930283
54000.000000	-65.101097
54375.000000	-65.035263
54750.000000	-65.085281
55125.000000	-65.120216
55500.000000	-65.165894
55875.000000	-65.107307
56250.000000	-64.997742
56625.000000	-65.227196
57000.000000	-65.363487
57375.000000	-65.267784
57750.000000	-65.307915
58125.000000	-64.935890
58500.000000	-64.911568
58875.000000	-65.217934
59250.000000	-65.473633
59625.000000	-65.230576
60000.000000	-65.160233
60375.000000	-65.286072
60750.000000	-65.377228
61125.000000	-65.451706
61500.000000	-65.234497
61875.000000	-65.215797
62250.000000	-65.004478
62625.000000	-65.053917
63000.000000	-65.235634
63375.000000	-65.439789
63750.000000	-65.568115
64125.000000	-65.301414
64500.000000	-65.378563
64875.000000	-65.704422
65250.000000	-65.719109
65625.000000	-65.745667
66000.000000	-65.719414
66375.000000	-65.473129
66750.000000	-65.336502
67125.000000	-65.512955
67500.000000	-65.550690
67875.000000	-65.709038
68250.000000	-65.652336
68625.000000	-65.533745
69000.000000	-65.432289
69375.000000	-65.498650
69750.000000	-65.557793
70125.000000	-65.664497
70500.000000	-65.563522
70875.000000	-65.387871
71250.000000	-65.612221
71625.000000	-65.594673
72000.000000	-65.657936
72375.000000	-65.455193
72750.000000	-65.480270
73125.000000	-65.762825
73500.000000	-65.521950
73875.000000	-65.738113
74250.000000	-65.578064
74625.000000	-65.486778
75000.000000	-65.616104
75375.000000	-65.622681
75750.000000	-65.693893
76125.000000	-65.812775
76500.000000	-65.755089
76875.000000	-65.692253
77250.000000	-65.681580
77625.000000	-65.763184
78000.000000	-66.176933
78375.000000	-66.030304
78750.000000	-65.707130
79125.000000	-65.964241
79500.000000	-65.920265
79875.000000	-65.834633
80250.000000	-65.793938
80625.000000	-65.650795
81000.000000	-65.616997
81375.000000	-65.940865
81750.000000	-65.793037
82125.000000	-65.562538
82500.000000	-65.588303
82875.000000	-65.737160
83250.000000	-65.775696
83625.000000	-65.832291
84000.000000	-65.593666
84375.000000	-65.626617
84750.000000	-65.852158
85125.000000	-65.771484
85500.000000	-65.850349
85875.000000	-65.701180
86250.000000	-66.184448
86625.000000	-66.166069
87000.000000	-66.076065
87375.000000	-66.109184
87750.000000	-65.890404
88125.000000	-65.794373
88500.000000	-65.816010
88875.000000	-65.925507
89250.000000	-65.905113
89625.000000	-66.029938
90000.000000	-65.914772
90375.000000	-65.735519
90750.000000	-65.641655
91125.000000	-65.728233
91500.000000	-65.922485
91875.000000	-65.800865
92250.000000	-66.191208
92625.000000	-66.090195
93000.000000	-65.788895
93375.000000	-65.991638
93750.000000	-65.964439
94125.000000	-66.010521
94500.000000	-66.018066
94875.000000	-66.128174
95250.000000	-66.153282
95625.000000	-65.863899
96000.000000	-65.638527
96375.000000	-65.748192
96750.000000	-66.134460
97125.000000	-66.185081
97500.000000	-66.026962
97875.000000	-66.104805
98250.000000	-66.052238
98625.000000	-66.056625
99000.000000	-66.028076
99375.000000	-66.078674
99750.000000	-66.223328
100125.000000	-65.990936
100500.000000	-65.944191
100875.000000	-66.162422
101250.000000	-66.156937
101625.000000	-66.262283
102000.000000	-66.180359
102375.000000	-66.161194
102750.000000	-66.302155
103125.000000	-66.294319
103500.000000	-66.048454
103875.000000	-66.082588
104250.000000	-66.239128
104625.000000	-66.174568
105000.000000	-66.086182
105375.000000	-66.113342
105750.000000	-66.057510
106125.000000	-65.998184
106500.000000	-66.063553
106875.000000	-66.083908
107250.000000	-66.167244
107625.000000	-66.128540
108000.000000	-65.892853
108375.000000	-66.120537
108750.000000	-66.318710
109125.000000	-66.063438
109500.000000	-66.135254
109875.000000	-66.186829
110250.000000	-66.242195
110625.000000	-66.340553
111000.000000	-66.302734
111375.000000	-66.476952
111750.000000	-66.474274
112125.000000	-66.513336
112500.000000	-66.416260
112875.000000	-66.487518
113250.000000	-66.395256
113625.000000	-66.269264
114000.000000	-66.367256
114375.000000	-66.485466
114750.000000	-66.289482
115125.000000	-66.336021
115500.000000	-66.102432
115875.000000	-66.178795
116250.000000	-66.266899
116625.000000	-66.286034
117000.000000	-66.373962
117375.000000	-66.475174
117750.000000	-66.421646
118125.000000	-66.311630
118500.000000	-66.330444
118875.000000	-66.345428
119250.000000	-66.463295
119625.000000	-66.509232
120000.000000	-66.579391
120375.000000	-66.550003
120750.000000	-66.436340
121125.000000	-66.359039
121500.000000	-66.461525
121875.000000	-66.326340
122250.000000	-66.420166
122625.000000	-66.398682
123000.000000	-66.411095
123375.000000	-66.344200
123750.000000	-66.490250
124125.000000	-66.335213
124500.000000	-66.490211
124875.000000	-66.486015
125250.000000	-66.615128
125625.000000	-66.533775
126000.000000	-66.515907
126375.000000	-66.621735
126750.000000	-66.788269
127125.000000	-66.606590
127500.000000	-66.634766
127875.000000	-66.601791
128250.000000	-66.671303
128625.000000	-66.769096
129000.000000	-66.587967
129375.000000	-66.383499
129750.000000	-66.495178
130125.000000	-66.292656
130500.000000	-66.568329
130875.000000	-66.588516
131250.000000	-66.578156
131625.000000	-66.480721
132000.000000	-66.656479
132375.000000	-66.534447
132750.000000	-66.279999
133125.000000	-66.390167
133500.000000	-66.574615
133875.000000	-66.638962
134250.000000	-66.727791
134625.000000	-66.324532
135000.000000	-66.340721
135375.000000	-66.514465
135750.000000	-66.446060
136125.000000	-66.667160
136500.000000	-66.797287
136875.000000	-66.775032
137250.000000	-66.634460
137625.000000	-66.458229
138000.000000	-66.666794
138375.000000	-66.492149
138750.000000	-66.287132
139125.000000	-66.505844
139500.000000	-66.549744
139875.000000	-66.339767
140250.000000	-66.557816
140625.000000	-66.569252
141000.000000	-66.486732
141375.000000	-66.630409
141750.000000	-66.566917
142125.000000	-66.424637
142500.000000	-66.411972
142875.000000	-66.269722
143250.000000	-66.271507
143625.000000	-66.536629
144000.000000	-66.542145
144375.000000	-66.579514
144750.000000	-66.540535
145125.000000	-66.518623
145500.000000	-66.388168
145875.000000	-66.487106
146250.000000	-66.608940
146625.000000	-66.528160
147000.000000	-66.350494
147375.000000	-66.269188
147750.000000	-66.532356
148125.000000	-66.463020
148500.000000	-66.600922
148875.000000	-66.693260
149250.000000	-66.647667
149625.000000	-66.551544
150000.000000	-66.528992
150375.000000	-66.705513
150750.000000	-66.541122
151125.000000	-66.363831
151500.000000	-66.506256
151875.000000	-66.608978
152250.000000	-66.636108
152625.000000	-66.835175
153000.000000	-66.629181
153375.000000	-66.507278
153750.000000	-66.606262
154125.000000	-66.496368
154500.000000	-66.527039
154875.000000	-66.755112
155250.000000	-66.758781
155625.000000	-66.954735
156000.000000	-66.869942
156375.000000	-66.812767
156750.000000	-66.649757
157125.000000	-66.769165
157500.000000	-66.709534
157875.000000	-66.792404
158250.000000	-66.755608
158625.000000	-66.646599
159000.000000	-66.700462
159375.000000	-66.698524
159750.000000	-66.780174
160125.000000	-66.684853
160500.000000	-66.732658
160875.000000	-66.632896
161250.000000	-66.486809
161625.000000	-66.320801
162000.000000	-66.426758
162375.000000	-66.470039
162750.000000	-66.546211
163125.000000	-66.679901
163500.000000	-66.534363
163875.000000	-66.431862
164250.000000	-66.464409
164625.000000	-66.412788
165000.000000	-66.486557
165375.000000	-66.667046
165750.000000	-66.634277
166125.000000	-66.567841
166500.000000	-66.647202
166875.000000	-66.562523
167250.000000	-66.608269
167625.000000	-66.729866
168000.000000	-66.823753
168375.000000	-66.633980
168750.000000	-66.594368
169125.000000	-66.703049
169500.000000	-66.622704
169875.000000	-66.479301
170250.000000	-66.527687
170625.000000	-66.464821
171000.000000	-66.415337
171375.000000	-66.352188
171750.000000	-66.352623
172125.000000	-66.538719
172500.000000	-66.506912
172875.000000	-66.625053
173250.000000	-66.749359
173625.000000	-66.496185
174000.000000	-66.723000
174375.000000	-66.759964
174750.000000	-66.665764
175125.000000	-66.508690
175500.000000	-66.497253
175875.000000	-66.765640
176250.000000	-66.602715
176625.000000	-66.779480
177000.000000	-66.807716
177375.000000	-66.691048
177750.000000	-66.748062
178125.000000	-66.445175
178500.000000	-66.598747
178875.000000	-66.555374
179250.000000	-66.600159
179625.000000	-66.444618
180000.000000	-66.258888
180375.000000	-66.533653
180750.000000	-66.576607
181125.000000	-66.686279
181500.000000	-66.459389
181875.000000	-66.346642
182250.000000	-66.604492
182625.000000	-66.695076
183000.000000	-66.893738
183375.000000	-66.817230
183750.000000	-66.622620
184125.000000	-66.617462
184500.000000	-66.701630
184875.000000	-66.673088
185250.000000	-66.676788
185625.000000	-66.639015
186000.000000	-66.464180
186375.000000	-66.784538
186750.000000	-66.735176
187125.000000	-66.718979
187500.000000	-66.705467
187875.000000	-66.556969
188250.000000	-66.621986
188625.000000	-66.683723
189000.000000	-66.749664
189375.000000	-66.664185
189750.000000	-66.799446
190125.000000	-66.741165
190500.000000	-66.939476
190875.000000	-66.772446
191250.000000	-66.538216
191625.000000	-66.416161
