seg,t_start,t_end,length_ms,k_max,k_min,d12_frac,hq_frac,d60cop,d5,d10,d15,d20,d30,tower_native,pred_frac,tight,kstep,koide_frac
0,0.0000,0.0289,28.9,-70,-678,0.3479,0.3121,0.2046,0.0688,0.0463,0.1101,0.1405,0.0735,0.6437,0.0022,0.8483,66.3,0.5136
1,0.0289,0.0534,24.5,-81,-678,0.3477,0.3068,0.2152,0.0699,0.0511,0.1142,0.1504,0.0550,0.6557,0.0094,0.8484,59.7,0.5208
2,0.0534,0.0945,41.1,-73,-678,0.3520,0.3007,0.2062,0.0787,0.0500,0.1110,0.1445,0.0676,0.6581,0.0185,0.8465,63.9,0.5384
3,0.0945,0.1052,10.7,-80,-678,0.3648,0.3074,0.2062,0.0661,0.0516,0.1158,0.1401,0.0554,0.6352,0.0311,0.8501,73.8,0.5471
4,0.1052,0.1154,10.2,-76,-678,0.3578,0.2997,0.2008,0.0612,0.0520,0.1060,0.1335,0.0499,0.6035,0.0224,0.8539,73.1,0.5175
5,0.1154,0.1317,16.3,-81,-678,0.3378,0.3320,0.2284,0.0618,0.0431,0.1165,0.1609,0.0566,0.6673,0.0211,0.8426,60.8,0.5316
6,0.1317,0.1419,10.2,-78,-678,0.3453,0.2950,0.1912,0.0647,0.0452,0.1100,0.1429,0.0555,0.6095,0.0348,0.8551,63.3,0.5070
7,0.1419,0.1519,10.0,-81,-678,0.3621,0.3101,0.1915,0.0749,0.0531,0.1103,0.1717,0.0635,0.6649,0.0332,0.8429,64.0,0.5167
8,0.1519,0.1862,34.2,-76,-678,0.3359,0.3066,0.1999,0.0771,0.0561,0.1149,0.1286,0.0524,0.6291,0.0231,0.8511,72.5,0.5208
9,0.1862,0.2172,31.0,-80,-678,0.3349,0.3228,0.1981,0.0778,0.0505,0.1173,0.1435,0.0586,0.6459,0.0296,0.8471,69.7,0.5278
10,0.2172,0.2272,10.0,-79,-678,0.3479,0.3010,0.1771,0.0740,0.0594,0.1177,0.1562,0.0635,0.6479,0.0281,0.8456,59.7,0.5313
11,0.2272,0.2474,20.1,-81,-678,0.3420,0.3031,0.1995,0.0694,0.0487,0.1041,0.1425,0.0575,0.6218,0.0300,0.8531,65.5,0.4989
12,0.2474,0.2991,51.7,-72,-678,0.3375,0.3252,0.2035,0.0733,0.0484,0.1207,0.1427,0.0589,0.6476,0.0276,0.8460,64.2,0.5280
13,0.2991,0.3291,30.0,-80,-678,0.3373,0.3046,0.1961,0.0761,0.0529,0.1144,0.1387,0.0598,0.6380,0.0250,0.8490,65.6,0.5429
