Frequency (Hz)	Level (dB)
46.875000	-46.451889
93.750000	-39.738384
140.625000	-38.703480
187.500000	-39.164986
234.375000	-37.592354
281.250000	-36.830009
328.125000	-36.377254
375.000000	-32.291229
421.875000	-29.946554
468.750000	-29.592491
515.625000	-31.745831
562.500000	-34.296379
609.375000	-35.822811
656.250000	-40.344830
703.125000	-45.239265
750.000000	-47.305149
796.875000	-49.793377
843.750000	-48.075497
890.625000	-46.879654
937.500000	-47.959583
984.375000	-47.948792
1031.250000	-48.622234
1078.125000	-48.708237
1125.000000	-47.900352
1171.875000	-47.727531
1218.750000	-47.594398
1265.625000	-47.191742
1312.500000	-45.756203
1359.375000	-45.764408
1406.250000	-46.629738
1453.125000	-47.644882
1500.000000	-45.169132
1546.875000	-44.882023
1593.750000	-48.046127
1640.625000	-48.834759
1687.500000	-50.532993
1734.375000	-52.191402
1781.250000	-51.781681
1828.125000	-51.549339
1875.000000	-51.401260
1921.875000	-53.003845
1968.750000	-53.316135
2015.625000	-53.634533
2062.500000	-54.575851
2109.375000	-54.551693
2156.250000	-54.929214
2203.125000	-55.795078
2250.000000	-55.918491
2296.875000	-56.278915
2343.750000	-54.137993
2390.625000	-52.950241
2437.500000	-54.329197
2484.375000	-54.333672
2531.250000	-54.397034
2578.125000	-55.141308
2625.000000	-55.456444
2671.875000	-56.276104
2718.750000	-56.540577
2765.625000	-57.188831
2812.500000	-57.675133
2859.375000	-57.766445
2906.250000	-57.704437
2953.125000	-57.429958
3000.000000	-56.649918
3046.875000	-56.577290
3093.750000	-57.465614
3140.625000	-56.306660
3187.500000	-55.531895
3234.375000	-56.096825
3281.250000	-55.225842
3328.125000	-54.672947
3375.000000	-55.393368
3421.875000	-54.541821
3468.750000	-54.069580
3515.625000	-54.478249
3562.500000	-53.944778
3609.375000	-52.948757
3656.250000	-54.707371
3703.125000	-56.059368
3750.000000	-54.531273
3796.875000	-55.398560
3843.750000	-54.502995
3890.625000	-54.056084
3937.500000	-55.738708
3984.375000	-56.289021
4031.250000	-56.452358
4078.125000	-57.399654
4125.000000	-58.080681
4171.875000	-58.555473
4218.750000	-59.402386
4265.625000	-59.503632
4312.500000	-59.908016
4359.375000	-60.927288
4406.250000	-61.315208
4453.125000	-60.979229
4500.000000	-60.670181
4546.875000	-60.011360
4593.750000	-59.691544
4640.625000	-59.671383
4687.500000	-59.713661
4734.375000	-59.782845
4781.250000	-59.836216
4828.125000	-59.726807
4875.000000	-59.903976
